r,40%,20%,10%,5%,2.5%,1%,0.1%
1,0.51,0.22,0.11,0.05,0.03,0.01,0
2,0.69,0.41,0.27,0.18,0.12,0.07,0.02
3,0.76,0.51,0.37,0.27,0.21,0.15,0.06
4,0.8,0.57,0.44,0.34,0.27,0.21,0.11
5,0.83,0.62,0.49,0.39,0.32,0.26,0.15
6,0.85,0.65,0.53,0.44,0.37,0.3,0.18
7,0.86,0.68,0.56,0.47,0.4,0.33,0.22
8,0.87,0.7,0.58,0.5,0.43,0.36,0.25
9,0.88,0.71,0.6,0.52,0.46,0.39,0.27
10,0.89,0.73,0.62,0.54,0.48,0.41,0.3
11,0.9,0.74,0.64,0.56,0.5,0.43,0.32
12,0.9,0.75,0.65,0.58,0.52,0.45,0.34
13,0.91,0.76,0.67,0.59,0.53,0.47,0.35
14,0.91,0.77,0.68,0.6,0.55,0.48,0.37
15,0.91,0.78,0.69,0.62,0.56,0.5,0.39
16,0.92,0.79,0.7,0.63,0.57,0.51,0.4
17,0.92,0.79,0.7,0.64,0.58,0.52,0.41
18,0.92,0.8,0.71,0.65,0.59,0.53,0.43
19,0.93,0.8,0.72,0.65,0.6,0.54,0.44
20,0.93,0.81,0.73,0.66,0.61,0.55,0.45
21,0.93,0.81,0.73,0.67,0.62,0.56,0.46
22,0.93,0.82,0.74,0.68,0.63,0.57,0.47
23,0.93,0.82,0.74,0.68,0.63,0.58,0.48
24,0.94,0.83,0.75,0.69,0.64,0.59,0.49
25,0.94,0.83,0.75,0.7,0.65,0.59,0.49
26,0.94,0.83,0.76,0.7,0.65,0.6,0.5
27,0.94,0.84,0.76,0.71,0.66,0.61,0.51
28,0.94,0.84,0.77,0.71,0.66,0.61,0.52
29,0.94,0.84,0.77,0.72,0.67,0.62,0.52
30,0.94,0.84,0.77,0.72,0.67,0.62,0.53
31,0.94,0.85,0.78,0.72,0.68,0.63,0.54
32,0.95,0.85,0.78,0.73,0.68,0.64,0.54
33,0.95,0.85,0.78,0.73,0.69,0.64,0.55
34,0.95,0.85,0.79,0.74,0.69,0.64,0.55
35,0.95,0.86,0.79,0.74,0.7,0.65,0.56
36,0.95,0.86,0.79,0.74,0.7,0.65,0.56
37,0.95,0.86,0.8,0.75,0.7,0.66,0.57
38,0.95,0.86,0.8,0.75,0.71,0.66,0.57
39,0.95,0.86,0.8,0.75,0.71,0.67,0.58
40,0.95,0.87,0.8,0.75,0.71,0.67,0.58
41,0.95,0.87,0.81,0.76,0.72,0.67,0.59
