r,60%,80%,90%,95%,97.5%,99%,99.9%
1,2.02,2.99,3.89,4.74,5.57,6.64,9.23
2,1.55,2.14,2.66,3.15,3.61,4.2,5.61
3,1.39,1.84,2.23,2.58,2.92,3.35,4.35
4,1.31,1.68,2,2.29,2.56,2.9,3.7
5,1.26,1.58,1.85,2.1,2.33,2.62,3.29
6,1.22,1.51,1.76,1.97,2.18,2.43,3.01
7,1.2,1.46,1.68,1.88,2.06,2.29,2.8
8,1.18,1.42,1.62,1.8,1.97,2.18,2.64
9,1.16,1.39,1.58,1.75,1.9,2.09,2.52
10,1.15,1.37,1.54,1.7,1.84,2.01,2.41
11,1.14,1.34,1.51,1.66,1.79,1.95,2.33
12,1.13,1.32,1.48,1.62,1.75,1.9,2.25
13,1.12,1.31,1.46,1.59,1.71,1.86,2.19
14,1.12,1.29,1.44,1.56,1.68,1.82,2.13
15,1.11,1.28,1.42,1.54,1.65,1.78,2.08
16,1.11,1.27,1.4,1.52,1.62,1.75,2.04
17,1.1,1.26,1.39,1.5,1.6,1.72,2
18,1.1,1.25,1.38,1.48,1.58,1.7,1.96
19,1.1,1.24,1.36,1.47,1.56,1.68,1.93
20,1.09,1.24,1.35,1.45,1.54,1.66,1.9
21,1.09,1.23,1.34,1.44,1.53,1.64,1.87
22,1.09,1.22,1.33,1.43,1.51,1.62,1.85
23,1.08,1.22,1.32,1.42,1.5,1.6,1.83
24,1.08,1.21,1.32,1.41,1.49,1.59,1.81
25,1.08,1.21,1.31,1.4,1.48,1.57,1.79
26,1.08,1.2,1.3,1.39,1.47,1.56,1.77
27,1.07,1.2,1.29,1.38,1.45,1.55,1.75
28,1.07,1.19,1.29,1.37,1.45,1.53,1.73
29,1.07,1.19,1.28,1.36,1.44,1.52,1.72
30,1.07,1.19,1.28,1.36,1.43,1.51,1.7
31,1.07,1.18,1.27,1.35,1.42,1.5,1.69
32,1.07,1.18,1.27,1.34,1.41,1.49,1.68
33,1.07,1.18,1.26,1.34,1.4,1.49,1.66
34,1.06,1.17,1.26,1.33,1.4,1.48,1.65
35,1.06,1.17,1.25,1.33,1.39,1.47,1.64
36,1.06,1.17,1.25,1.32,1.38,1.46,1.63
37,1.06,1.16,1.25,1.32,1.38,1.45,1.62
38,1.06,1.16,1.24,1.31,1.37,1.45,1.61
39,1.06,1.16,1.24,1.31,1.37,1.44,1.6
40,1.06,1.16,1.23,1.3,1.36,1.43,1.59
41,1.06,1.15,1.23,1.3,1.36,1.43,1.58
